Sample_ID,Data_type,Mother_plant_ID,Temperature_type,Temperature_treatment,Soil_type,Soil_moisture_treatment,Soil_microbial_origin,Plant_population_origin,Sympatry,Number_of_seeds_planted,Number_of_emerged_seedlings,Date,Measurement_time_point,Plant_age_days,Leaf_number,Leaf_length_cm,Leaf_width_cm,Rosette_shape_flat/high,Leaf_allometry,Leaf_size,Leaf_area,AMF_colonisation_percent,Leaves_freshweight_g,Leaves_dryweight_g,Roots_dryweight_g,Root_shoot_ratio,Total_biomass_g
49,leaves,Coast_P09,High, 25C,High, 40%watervol,Coast,Coast,Local,2,1,29-01-2016,1,19,4,5.6,0.3,NA,0.053571429,1.68,6.72,NA,NA,NA,NA,NA,NA
50,leaves,Coast_P10,High, 25C,High, 40%watervol,Coast,Coast,Local,2,2,29-01-2016,1,19,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
51,leaves,Coast_P10,High, 25C,High, 40%watervol,Coast,Coast,Local,2,1,29-01-2016,1,19,2,2.6,0.1,NA,0.038461538,0.26,0.52,NA,NA,NA,NA,NA,NA
52,leaves,Coast_P10,High, 25C,High, 40%watervol,Coast,Coast,Local,2,1,29-01-2016,1,19,2,3.1,0.1,NA,0.032258065,0.31,0.62,NA,NA,NA,NA,NA,NA
53,leaves,Forest_P10,High, 25C,High, 40%watervol,Coast,Forest,Non-local,1,1,29-01-2016,1,19,4,4.7,0.3,NA,0.063829787,1.41,5.64,NA,NA,NA,NA,NA,NA
54,leaves,Forest_P12,High, 25C,High, 40%watervol,Coast,Forest,Non-local,2,2,29-01-2016,1,19,4,3.8,0.3,NA,0.078947368,1.14,4.56,NA,NA,NA,NA,NA,NA
55,leaves,Forest_P15,High, 25C,High, 40%watervol,Coast,Forest,Non-local,2,1,29-01-2016,1,19,4,3.5,0.3,NA,0.085714286,1.05,4.2,NA,NA,NA,NA,NA,NA
56,leaves,Forest_P4,High, 25C,High, 40%watervol,Coast,Forest,Non-local,2,0,29-01-2016,1,19,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
57,leaves,Meadow_P03,High, 25C,High, 40%watervol,Coast,Meadow,Non-local,2,2,29-01-2016,1,19,4,3,0.2,NA,0.066666667,0.6,2.4,NA,NA,NA,NA,NA,NA
58,leaves,Meadow_P03,High, 25C,High, 40%watervol,Coast,Meadow,Non-local,2,1,29-01-2016,1,19,4,2.5,0.3,NA,0.12,0.75,3,NA,NA,NA,NA,NA,NA
